,Flight No.,Launch site,Payload mass,Orbit,Customer,Version Booster,Date,Time,Class
106,107,CCSFS,15600,LEO,SpaceX,F9 B5 ♺,4 February 2021,06:19,1
107,108,CCSFS,15600,LEO,SpaceX,F9 B5 ♺,16 February 2021,03:59:37,0
108,109,KSC,15600,LEO,SpaceX,F9 B5 ♺,4 March 2021,08:24,1
109,110,CCSFS,15600,LEO,SpaceX,F9 B5 ♺,11 March 2021,08:13:29,1
110,111,KSC,15600,LEO,SpaceX,F9 B5 ♺,14 March 2021,10:01,1
111,112,CCSFS,15600,LEO,SpaceX,F9 B5B1060.6,24 March 2021,08:28,1
112,113,CCSFS,15600,LEO,SpaceX,F9 B5 ♺,7 April 2021,16:34,1
113,114,KSC,13000,LEO,NASA (CTS)[497],F9 B5B1061.2,23 April 2021,9:49,1
114,115,CCSFS,15600,LEO,SpaceX,F9 B5B1060.7,29 April 2021,03:44,1
115,116,KSC,15600,LEO,SpaceX,F9 B5B1049.9,4 May 2021,19:01,1
116,117,CCSFS,15600,LEO,SpaceX,F9 B5B1051.10,9 May 2021,06:42,1
117,118,KSC,14000,LEO,SpaceX Capella Space and Tyvak,F9 B5B1058.8,15 May 2021,22:56,1
118,119,CCSFS,15600,LEO,SpaceX,F9 B5B1063.2,26 May 2021,18:59,1
119,120,KSC,3328,LEO,NASA (CRS),F9 B5B1067.1,3 June 2021,17:29,1
120,121,CCSFS,7000,GTO,Sirius XM,F9 B5,6 June 2021,04:26,1
